,제목,날짜,작성일,작성자,댓글
488,오세훈 지지율 오르자 야권단일화 삐걱,2021-03-15 11:16:00,2021-03-15 12:45:03,c***2,왜구들이야 항상 저러지.. 철수야 넌 팽 당한거야..초딩아...
489,오세훈 지지율 오르자 야권단일화 삐걱,2021-03-15 11:16:00,2021-03-15 11:33:16,김***건,"그럼 그렇지.
안잽이의 진면목을 제대로 보여주기 바란다."
490,[백브리핑] '검찰 선배' 홍준표 의원의 '애정어린 충고?',2021-03-03 21:06:00,2021-03-04 18:46:25,김***우,똘끼로 충만한 똑같은 놈들 끼리 뭔 충고냐? 니들을 보면 이 나라의 미래가 깜깜하다 깜깜해!! ㅉㅉㅉ
491,"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,2021-03-24 14:16:34,g***6,"기대된다 ......... 여론조사 지지율 3위 ........허경영 후보가..........박영선, 오세훈과 토론 하는 것이 말이다............."
492,"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,2021-03-24 13:57:49,한***천,"여론 조사 잘 못 돼었다.
허경영과 다른 후보를 포함하여 조사하라.
국민재산, 국가재산 도독질하는 기성정당만 후보가 아니다.
그들은 도둑이다.
허경영이 답이다.
무보수 자원봉사 누가 감히 할 수있나?
한번 손들와보라고요!
누가 시민배당금지급 할 수있나, 기존예산에서 절약하여,
누가 1급수를 시민에게 공급 할 수 있나?
누가 보동산 보유세 폐지 할 수있나?
허경여 대통령 되는 날,
우리 국민은 이보다 더큰 혜택을 본다.
기대하시라 국민이여!"
493,"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,2021-03-24 13:52:49,최***숙,서울시장 허경영후보를 적극 지지합니다
494,"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,2021-03-24 13:41:09,천***진,"여론조사 공정해야한다..
아파트분양가 상한제를 폐지하고 부동산 투자 시장 자율에 연애 결혼 출산 공영제 하고 취수원을 청평댐으로 옮겨 특급수 공급 하고 보유세 상속세를 폐지하고 양적완화 하여 18세부터 1억주고 세금절약 하여 배당금 150이상 지급 하고 징병제 폐지하고 모병제로 해야 주식시장 1억원 미만 거래세 면제해야 공매도 폐지해야 한다..쌍벌죄를 페지 뇌물 받은 자만 처벌하여 부정부패를 차단한다..UN 본부 판문점으로 이전 해야 한다."
495,"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,2021-03-24 13:07:36,국***허,"허경영 지지율 3위!! 4위의 3배로 압도적 3위!!
티비 생방송 '초청토론회'에 0.0% 지지율 이수봉 말고
허경영 초청해야 잼있죠~
선관위가 이상한 듯 합니다"
496,"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,2021-03-24 13:06:34,국***허,"허경영 지지율 3위!! 4위의 3배로 압도적 3위!!
티비 생방송 '초청토론회'에 0.0% 지지율 이수봉 말고
허경영 초청해야 잼있죠~~
선관위가 이상한 듯 합니다!!"
497,"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,2021-03-22 19:13:37,c***2,그래.. 아이들 밥그릇 빼앗는 인간이 서울 시장되고... 대통령도 시켜봐라.. 명박이 근혜 보고도 또 왜구니?
498,"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,2021-03-22 18:49:50,j***k,"딱히 현 정권이 잘 했다고 할 수는 없지만,,,, 그렇다고 국민의힘이 당선이 된다고 해서 더 잘 할 수 있다고 생각하는 것 자체가 모순 같은데,,,, 점차 투명한 방향으로 개선되고 있는 현 상황에서 다시 불투명의 시대로 전환을 꾀하는 이들의 꾐에 넘어가지는 말아야 할 것 같은데,,,, 쩝, 쩝,,,,ㅠㅠ"
499,"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,2021-03-22 18:42:58,1***y,기레기들이.저 돼지 장모 마누라 의혹엔 입을 처다무니 ㅋㅋ
500,[이슈체크] 안철수는 도울까?…단일화 이후 전망은,2021-03-23 19:55:00,2021-03-24 13:55:58,c***2,철수야!! 너 그놈이 부동산 투기꾼인 걸 알고도 같이하니? 넌 청 억 가지고 전세 산다며? 참 꼬라지들 하고는...
501,"'안철수 책사' 이태규, 단일화 협상중 윤여준 만난 이유는",2021-03-17 16:04:00,2021-03-17 18:36:43,김***기,"(외톨이참새)
철수의 책사가 바로 그자였구만....
난 철수가 똥뽈을 찰때마다, 도데체 철수의 참모가 누구인지가 궁금해서 대략 열번정도를 댓글로 궁금함을 물었었는데....
아이고... 철수야...
차라리 나를 뽑지....벌써 대통령이 되었을텐데...."
502,"'안철수 책사' 이태규, 단일화 협상중 윤여준 만난 이유는",2021-03-17 16:04:00,2021-03-17 17:25:21,아***이,"책사가 아니라 모사꾼 윤여준 말을 듣다가 망가진 챌수.
권력에 눈이 뒤집혀서
아직도 그 놈 바지가랭이를 붙잡고
죽어가는 구나."
503,"'안철수 책사' 이태규, 단일화 협상중 윤여준 만난 이유는",2021-03-17 16:04:00,2021-03-17 17:13:56,y***6,"초선들은 그래도..좀 낫지...구닥다리 국민의힘은의원 들은 비리냄새가 나는것 같아 싫다.
윤총장과 같이 할 준비를 제3시지대에서 하시지요?"
504,오세훈 지지율 오르자 야권단일화 삐걱,2021-03-15 11:16:00,2021-03-15 12:45:03,c***2,왜구들이야 항상 저러지.. 철수야 넌 팽 당한거야..초딩아...
505,오세훈 지지율 오르자 야권단일화 삐걱,2021-03-15 11:16:00,2021-03-15 11:33:16,김***건,"그럼 그렇지.
안잽이의 진면목을 제대로 보여주기 바란다."
506,[백브리핑] '검찰 선배' 홍준표 의원의 '애정어린 충고?',2021-03-03 21:06:00,2021-03-04 18:46:25,김***우,똘끼로 충만한 똑같은 놈들 끼리 뭔 충고냐? 니들을 보면 이 나라의 미래가 깜깜하다 깜깜해!! ㅉㅉㅉ
507,"민주 ""국회의원 300명 부동산 전수조사""…국민의힘 ""해보자""",2021-03-11 19:07:00,2021-03-11 20:52:59,g***g,"이해충돌방지법을 제정을 계속 반복해서 집중보도해주세요, 국회의원들이 법을 만들때까지 쉬지말고 보도해주세요. 기득권층은 절대 포기하지 않을 겁니다."
508,"[백브리핑] 1년 만에 국회 온 황교안 ""류호정은 어디 의원?""",2021-04-27 21:08:00,2021-04-28 16:05:34,c***2,걘.. 갑질하는 거로 봐서는 너네 왜구 당인데...
509,"주호영·안철수 ""당 대 당 통합""…나경원, 황교안과 '선 긋기'",2021-04-29 19:27:00,2021-04-30 07:15:09,c***2,경원아... 너랑 교활이간 뭘 했는지 다 아는데.... 아베 오빠는 잘 있니?
510,"김무성 ""촛불 계엄령 사실""…당내 친박 '탄핵책임론' 조기진압?",2021-04-27 19:27:00,2021-04-27 20:29:14,k***.,김무성과 유승민은 주딩이가 열개라도 할말이 없는놈들 입니다.
511,"[백브리핑] 1년 만에 국회 온 황교안 ""류호정은 어디 의원?""",2021-04-27 21:08:00,2021-04-28 16:05:34,c***2,걘.. 갑질하는 거로 봐서는 너네 왜구 당인데...
512,"다음 대통령은? ""이재명 25%, 윤석열 23%""",2021-03-18 15:54:00,2021-04-01 15:00:16,c***2,장모.. 마누라 사식이나 준비해라.. 범죄자 집안
513,"다음 대통령은? ""이재명 25%, 윤석열 23%""",2021-03-18 15:54:00,2021-03-18 17:35:47,무***심,조금 더 있으면 기름기 쫘`악 빠지지 않을까 생각된다
514,"박주민 ""유시민 기소가 정권에 대한 공격? 맞지 않다""",2021-05-06 11:16:00,2021-05-06 12:11:39,l***1,죄지은 놈은 마땅히 벌을 받아야지..중죄로 다스려야..
515,'지지율 1위' 윤석열의 딜레마…대선주자 비호감도 1위,2021-04-14 08:17:00,2021-04-14 14:37:17,c***2,"니 장모랑 와이프 유죄 나올텐데.. 어쩌니? 지지율? 그거 다 뻥이야... 니 돈 많이 쓰,고 찌그러져라...ㅋㅋ"
516,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 07:40:58,동***이,인터넷 신문은 날짜와 시간외에는 믿을게 없댜는데(드라마에 나와)
517,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 05:58:14,c***2,"선호도가 딱 ... 어느 지역 인구 비율이네.. 저런 범죄자 집안 인간들도 대통령 될 수 있는 지역... 이번에, 그 지역 시장 뽑은거 봐라..!! 온갖 잡질로 돈만 챙기던 놈이나 뽑고.. 참, 저 지역 수준은 어떻게 하니... 박정희 전두환이 독재의 단물만 빨던 인간들... 싸나이? 개가 웃는다.."
518,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 02:08:53,f***7,밑에 대깨들 논리가 없노 윤석열 일개 검사였는데 우파 세력과 전직대통령 두명과 깜빵넣은 공으로 검찰총장 낙하산으로 꼽아주고 키워준게 문재인이란걸 모르나? 대가리에 두부만 들었나 ㅋ 대깨들 풉 일개 검사가 대통령감이 아니라고? 그럼 경희대정도 나와데모 흉내내다 변호사 하던 문재인은 대통령 감이야? ㅋ 사시패스도 검사 커트라인이 변호사 보다 위이고 학벌도 위이고 문재인덕에 총장까지 했는데?대깨들때문에 국민이 정신차리네 ㅋ 대깨들화이팅
519,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 01:59:04,f***7,이낙연은 문재인과 함께 침몰해 제거 될각이고 이재명은 대깨등르 떠않아야 될텐데 점점 대깨들은 침몰각이라 대깨랑 한배탔다간 좌익 자체가 박멸될거고.. 중도 전후를 꽉잡은 윤석열이 그나마 여유롭구나.
520,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 01:19:36,h***0,"국민의 수준이 이지경이 된게 누구 때문인가?
일개 검사가 대통령감이라니.... 이 사람이 데체 누구란 말인가?
한탄스럽고, 한심스러원진다."
521,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 01:17:09,h***0,"도데체 국민의 수준이 이 모양이된게 누구 때문인가? 한탄스럽고 수치스럽다.
일개 검사가 대통령감이라니....? 한심하다."
522,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 01:02:15,o***0,자 문이란 세력은 결국명분만 채기려다 이도저도 안된 댐빵하다 막판에 LH아킬레스로 머된정권이다... 그렇다구 야인들이 멋지게 잘한것도 없다... 정신차려라 여든 야든 정치하는것들은 세금으로 대신 일하는 노비다 그걸 마치 희롱하듯 또 쑈를한다..정신차려라...정치하는것들은 여든야든 다 우리편이아니란것을..바보같이 아직도 선그려구 뇌를 소모하지마라..
523,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-12 23:51:32,k***3,"윤석열 전 검찰총장, 조국 전 장관 처럼 장모 부인 본인 범죄, 70곳 이상 압수수색 사법처리 했다면 윤석열 본인 부인 장모 몽땅 감방에 쳐박혀 있을 것으로 확신한다."
524,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-12 23:03:24,이***석,이재명은 혜경궁김씨 사건으로 친문이 죽이려고할때 그냥 탈당해서 정의당이나 국민의당으로 갔으면 지금보다 훨씬 전망 좋았을거다. 지금 민주당에서 백날 친문한테 아부해봐야 친문이 대선후볼 안 밀어준다. 정동영하고 이명박 매치할때도 친문들이 도와주지도 않았다. 친문패권주의는 자기들편이 권력 못잡으면 차라리 상대당에게 권력주는게 낫다라는 생각을 가진 비정상적인 사람들이다.
525,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-12 22:05:33,김***기,"(외톨이참새)
어리석은 진보들....아니 친문들.
내가 예측한 정치가 꼭맞아들어가는군...
내가 거듭거듭 강조했듯이 니들은 명박이보다 더 모진자를 맞이하게 될거야...
내말이 의심스러우면 내아이디를 정치기사 5개월전부터 검색해보라.
니들은 콧방구를 뀌겠지만, 이젠 재명이도 장담을 못하는 사태까지 왔다.
니들은 이제 사즉생의 심정으로 재명이에게 기대를 하겠지만....
과연 친문과 문통정치의 증오표심을 이길수가 있을까 ?"
526,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-12 21:53:05,박***안,윤가가 할수있는것은 범죄자잡는거하고 없는죄도 만드는거외 뭘할수있을까
527,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-12 21:44:48,A***n,"나라가 망하는 방법인가?
어디 방글라데시 후진국도 아니고 대한민국 수준 개허접이네"
528,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-12 21:36:12,한***우,ㅋㅋㅋJTBC 왜이러냥. 손석희 내려가더니 ;;
529,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-12 21:24:08,J***g,JTBC도 진즉에 기레기 반열에 올랐구나...
530,"김무성 ""촛불 계엄령 사실""…당내 친박 '탄핵책임론' 조기진압?",2021-04-27 19:27:00,2021-04-27 20:29:14,k***.,김무성과 유승민은 주딩이가 열개라도 할말이 없는놈들 입니다.
531,'내년 3·9 대선' 초반 판세 JTBC 첫 여론조사…윤석열 36.3%,2021-04-13 07:57:00,2021-04-18 22:30:40,김***숙,"윤석열은 똥이다
나는 이재명을 지지한다"
532,'내년 3·9 대선' 초반 판세 JTBC 첫 여론조사…윤석열 36.3%,2021-04-13 07:57:00,2021-04-16 01:07:09,J***n,"""타성에 젖지 않고, 늘 겸손하게..."" 이희정 정치부 기자, 웃기지 좀 말고, 기자라고 하지도 말고... 기레기가 정답. 검새 윤석열이가 대통령 후보로 오르내릴 때, 정말 참담하고 민망한 국민들은 생각해 봤나? 홍씨가 그렇게 띄우라 하던? 수구 족벌 언론 사주의 노예일뿐, 기자는 무슨... 나같으면 쪽팔려서라도 그 사진 내린다."
533,'내년 3·9 대선' 초반 판세 JTBC 첫 여론조사…윤석열 36.3%,2021-04-13 07:57:00,2021-04-16 01:02:06,J***n,윤석열 대통령 후보로 띄워주기에 열혈한 Fucking JTBC. 홍석현이 그렇게 시키더냐? 족벌 독재 사주에 노예가 되어 버린 JTBC의 기레기들... 옛날 니들 선배들은 반항이라도 했지. ㅉㅉ 한심한 JTBC.
534,"'침묵' 청와대, 국정 운영 차질 우려…대선 국면 가나",2021-04-08 08:06:00,2021-04-08 11:05:37,安***],"누가 뭐래도 문제인 대통령님 덕분에 나라가 나라 다워 졌다.

국민모두가 과거를 잃으면 군사독재시대로 회계할수 있음을 명심 하시길..........."
535,"'침묵' 청와대, 국정 운영 차질 우려…대선 국면 가나",2021-04-08 08:06:00,2021-04-08 10:49:09,d***8,솔직히 LH는 어느당이 집권하던 터질문제였음.. 아직도 숨어있는 적폐가 있다. 없을 리가 없지. 앞으로 계속 적폐 없애나가자
536,"'침묵' 청와대, 국정 운영 차질 우려…대선 국면 가나",2021-04-08 08:06:00,2021-04-08 10:37:16,安***],"누가 뭐래도 문제인 대통령님 덕분에 나라가 나라 다워 졌다.

국민모두가 과거를 잃으면 군사독재시대로 회계할수 있음을 명심 하시길..........."
537,"'침묵' 청와대, 국정 운영 차질 우려…대선 국면 가나",2021-04-08 08:06:00,2021-04-08 09:43:17,y***y,현명한 국민이 정치 지도자들을 리드해야만 한다. 오만방자 & 불손한 여당의 태도에 대한 국민의 회초리다. 재보궐선거 결과를 보고 깨달고 국민의 눈 높이로 볼수있기를 바란다. 다시한번 정권을 잡고 싶다면 정부여당을 통렬한 자기반성의 자세로 취해야 할것이라 생각한다. 왜? 야당이 잘해서 표를준게 아니라 여당이 못해서 야당에 표를 준것이기 때문에!!
538,"[백브리핑] 1년 만에 국회 온 황교안 ""류호정은 어디 의원?""",2021-04-27 21:08:00,2021-04-28 16:05:34,c***2,걘.. 갑질하는 거로 봐서는 너네 왜구 당인데...
539,[백브리핑] 집단 퇴장한 야당 의원들…'마이크 때문에?',2021-04-20 21:10:00,2021-04-20 22:16:20,c***2,저..왜구놈들이야 국회가 무슨 놀러가는 곳 이라고 생각하는 놈들인데.. 신경쓰지 말고 국회 잘 운영하세요
540,"[JTBC 여론조사②] ""대통령감 절대 아니다"" 1위도 윤석열",2021-04-13 17:56:00,2021-04-14 07:57:33,박***3,"답은 명확합니다.
이낙연입니다.
호불호는 순간이구요.
사람의 됨됨이가 최종 답안입니다.
우리는 이낙연이라면
믿고 갑시다."
541,"[JTBC 여론조사②] ""대통령감 절대 아니다"" 1위도 윤석열",2021-04-13 17:56:00,2021-04-13 19:20:01,f***7,대한민국 20~30프로 극좌익 설문조사 ㅋㅋㅋ
542,"[JTBC 여론조사②] ""대통령감 절대 아니다"" 1위도 윤석열",2021-04-13 17:56:00,2021-04-13 19:14:58,정***훈,"니들이 싫다고 해 봐야 대세는 변하지 않는다. 우리나라는 일부 강성 민주당 지지자들의 나라가 아니다. 중도의 의견이 제일 중요하고, 그들의 의견이 곧 국가의 길이 된다."
543,"[JTBC 여론조사]재보선 이후 첫조사, 윤석열 36.3%, 이재명 23.5%, 이낙연 12.3%",2021-04-12 19:06:00,2021-04-12 21:33:19,김***철,조중동과 리얼미터를 믿어? 그 거품 빠지는걸 보여주지
544,"[JTBC 여론조사]재보선 이후 첫조사, 윤석열 36.3%, 이재명 23.5%, 이낙연 12.3%",2021-04-12 19:06:00,2021-04-12 19:41:08,한***우,세상에나 저분이 대통령이 된다굽쇼??
545,"[JTBC 여론조사]재보선 이후 첫조사, 윤석열 36.3%, 이재명 23.5%, 이낙연 12.3%",2021-04-12 19:06:00,2021-04-12 19:37:55,조***영,대선주자 1위가... 대한민국을 위해 무엇을 했는지 도무지 알 수가 없으니... 쩝...
546,"[JTBC 여론조사]재보선 이후 첫조사, 윤석열 36.3%, 이재명 23.5%, 이낙연 12.3%",2021-04-12 19:06:00,2021-04-12 19:24:28,1***y,그만 좀 띄워 개역겨워
547,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 23:50:50,박***민,"ㅋㅋㅋ 가짜보수언론에서 언론플레이하네 ㅋㅋㅋ 이사람이 왜 대권후보 1위인데???
아직도 국민을 호구로 보는가?? 기레기들아 ㅋㅋ 그러니 민주당한테 안되는거다
시도민을 위한 행정정책을 내봤나?? 해외 외교정책을 내봤나?? 사람한테 충성을 안한다는게 아니고 가짜보수에 완전 충성질인데 올바른사람한테 충성을 안하는 반역자새끼를???
적당히좀 해라 대구,경북 사람들은 정신좀 차리고 대구사람으로 부끄럽다 부끄러워 어휴 병신들이 너무 많아서"
548,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 17:10:41,솔***몰,"참 똥강아지가 웃겠다
우하하하하하~~~~
기레기들은 역시 기레기들이다
아고 네 참 어이가 없데이
썩렬이가 대권지지 1등이라꼬 카네"
549,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 16:39:45,D***g,기레기...ㅋㅋㅋ
550,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 16:05:08,S***N,뭥미?? 이 사람이 뭘 한게 있다고 1위??? 지나가는 개가 웃겠다^^.......
551,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 16:01:43,박***일,도대체 이사람이 뭘했다고 대권1위야? 뭘했는데?
552,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 15:49:28,H***k,ㅋㅋㅋ 개가 웃겠다.
553,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 15:19:59,a***m,"어뜨케든 여론몰이 하려고 애쓴다. 요즘 대한민국국민이 이런 쓰레기 찌라시를 믿고 따르지 않는다는거 앞서서 한번도 아니고 여러번 보여줬는데도 저 난리들이냐. 당대표라는 인간이 가짜뉴스를 아무런 윤리의식 없이 막 하고 다니고..대한민국이 탑골공원에서 정치하고 있다고 언제까지 믿을라고 그러는건지 한심하다.
문재인정권이 절대적으로 잘하고 있다라고 생각하는건 나도 좀 그렇지만,
상대적으로는 확실히 낫다. 저 탑골공원의 국짐당은 도무지 아니다."
554,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 15:18:34,u***2,"이재명보다 나을 게 하나 없는 윤석열이 대선 후보 1위라고? 이재명은 정책이라도 잘 펴고 있는데, 윤석열은 정치도 한 적 없고 검찰에서만 계속 있었는데 그 사람이 대통령이 된다고 생각하면......... 어우, 끔찍해."
555,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 14:27:31,곽***산,사퇴했다고.. 17%가 순식간에 올랐다고? 도대체 여론조사를 어떻게 했길래... 표본과 질문방식이 궁금해지는군요.. 홍보광고로 느껴지는뎅.... 검찰이 법치위기 운운하는게.. 참... 어이없던데..
556,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 14:18:12,c***1,정신 챙그려라...대선후 검찰 출석 준비나 하고...역시 윤이네...
557,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 14:16:45,c***1,이걸 이제 알았냐? 대선후 벌써 떨고 있을 인간들 많을걸...ㅍㅎㅎㅎ
558,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 14:15:39,김***철,순자를 모시듯 순실이를 모시듯 이젠 누굴 영접할 준비를 해야하나? 대~한민국. 짝짝짝.
559,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 14:13:47,M***m,"이것도 조사라고,,,, 빠냐?"
560,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 14:12:09,c***2,딱.... 경상도 인구 수네...ㅋㅋㅋㅋㅋㅋ
561,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 13:56:14,s***5,포렌식하면 다 나옵니다. 어차피 장모 마누라 구속되면 끝!
562,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 13:42:19,q***m,조사 어디서 했냐? ㅋㅋㅋㅋ 어디서 약을팔아....
563,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 13:36:48,S***g,일단 장모와 여편네를 먼저 재판을 받아야한다. 사기꾼들한테 나라를 맡기는 것은 국민들의 잘못돤 인식이다. 언론은 윤석렬이를 몰아주고 무엇을 딜 했는지 조사하여야한다. 나쁜인간들이 아직 너무 많다.
564,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 13:04:08,1***y,"기레기들.신난게.눈에 보여서 웃김 ㅋㅋㅋ
기레기들의.대통령 검찰당 윤돼지"
565,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 12:59:26,강***영,역시 근혜잔당은 암생각없는 노예들.박근혜 잡아넣은 석열이를 지지하다니.역시 개돼지라 들어도 좋탄다...헐...국암당 노비들..
566,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 12:57:48,황***하,어디서 조사했길래 저런결과를. 이해가 안되네.
567,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 12:54:47,A***n,이런 조사 한두번이냐 ㅋㅋㅋ 이젠 식상하다
568,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 12:40:31,악***1,"가화만사성, 목표 주의자, 검찰 주의자, 편가르기, 몰염치 , 이런사람이 어찌 검증을 넘어 설까? 청문회처럼 그냥 나중을 봐라 내가 잘 하겠다 뭐 그렇게......."
569,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 12:18:06,k***5,"정치에 '정'자도 경험한 바 없는 고집불통이 정치를 한다고?
검찰정치, 오기정치, 보복정치, 이명박정치, 트럼프정치를 보고 싶으면 실컷 지지하라고 그래! 울 나라 민주주의 박살! 일제 향수병에 걸린 세력들이 다시 이나라에서 준동하는 것을 원하면!!"
570,"문 대통령, 윤석열 면직안 재가…여 '때리기' 야 '손짓'",2021-03-05 18:41:00,2021-03-17 23:11:49,강***우,"윤석열 관심 안주면 지지율 떨어질텐데 때리면 지지율이 올라가잔아.
난 그렇게 생각한다.
윤석열 화이팅!"
571,"[인터뷰] 정세균 ""대선 출마 위해 재보선 뒤 총리 사임…대통령께 오래전 양해받아""",2021-04-19 21:14:00,2021-04-20 11:00:04,김***기,"고생은 정세균,문재인등 몇분이 하시고
달콤한 열매는 이상직, 김우남, 김어준등 잡배들이 따먹고 있네.

역사를 봐도 어디나 그럽 잡배들이 꼬이기 마련!"
572,"[인터뷰] 정세균 ""대선 출마 위해 재보선 뒤 총리 사임…대통령께 오래전 양해받아""",2021-04-19 21:14:00,2021-04-20 02:31:37,홍***락,성낭 민심은 저버리고 대선출마라...
573,"'백신' 각 세우는 이재명·정세균…진중권, 이번엔 '어대명'?",2021-04-29 19:47:00,2021-04-30 07:16:36,c***2,진준권? 뭐 하는 놈인데.. 자꾸 나오니? 지가 김문수 인 줄 알아..ㅋㅋㅋㅋㅋ
574,"박용진, 여권 첫 출사표…여야 대선주자들 채비 분주",2021-05-09 19:18:00,2021-05-10 15:45:28,J***g,"얜.. 유치원3법으로 적당~~히 눈도장 한번 찍더니.. 무슨 결론을 내긴했나..흐지부히 되지 않았나.?
그리곤 대뜸 대선? ...ㅡ.ㅡ;; 내 얼굴이 다 화끈거린다.."
575,"박용진, 여권 첫 출사표…여야 대선주자들 채비 분주",2021-05-09 19:18:00,2021-05-10 09:31:46,장원***,정의당 간 거 아니었어?
576,"박용진, 여권 첫 출사표…여야 대선주자들 채비 분주",2021-05-09 19:18:00,2021-05-10 08:17:26,S***3,"참나, 이 박가 놈은 왜 꼼지락대는지 모르겠어..ㅋㅋ
뭐 새로운 인물 어쩌구 저째? 넌 전혀 새롭거나 참신하지 않아.. 이 넘아..."
577,"여권 대선 주자들 앞다퉈 청년 공략…""20살 1억""까지",2021-04-30 20:43:00,2021-05-03 21:11:24,박***규,"정치 한다는 새끼들부터 헛소리를 지껄여대니 나라가 갈팡질팡 서민들만 힘들어지지. 썩을 정치인 새끼들부터 전부다 사기죄로 깜방 보내야해.!
청년들에게 1억씩 돌리면 그돈은 어디서 나오겠어.? 그 청년 부모들에게서 세금으로 뽑아내겠지. 지놈들 사비 털어서 만들겠어.? 전부다 사기꾼 새끼들.!!"
